回民街|好评(11146)|中评(167)|差评(39)|全部(11692)|4.8
西安大唐西市博物馆|好评(302)|中评(8)|差评(2)|全部(326)|4.5
秦始皇陵丽山园景区|好评(5802)|中评(23)|差评(20)|全部(6161)|4.7
太平国家森林公园|好评(1478)|中评(25)|差评(4)|全部(1551)|4.8
西安钟楼|好评(6426)|中评(251)|差评(17)|全部(6990)|4.6
华夏文旅海洋公园|好评(2266)|中评(2)|差评(19)|全部(2291)|5
白鹿原·白鹿仓|好评(138)|中评(2)|差评(3)|全部(144)|4.8
祥峪森林公园|好评(344)|中评(1)|0|全部(349)|4.9
西安秦岭欢乐世界|好评(2353)|中评(6)|差评(7)|全部(2374)|5
陕西自然博物馆|好评(1782)|中评(17)|差评(2)|全部(1807)|4.9
永兴坊|好评(7828)|中评(4)|差评(19)|全部(8139)|4.8
华夏文旅西安度假区|好评(146)|0|0|全部(146)|5
钟鼓楼广场|好评(950)|中评(22)|0|全部(995)|4.8
大唐夜宴|好评(2559)|中评(93)|差评(54)|全部(2814)|4.6
西安鼓楼|好评(3007)|中评(117)|差评(6)|全部(3280)|4.6
长恨歌|好评(45525)|中评(187)|差评(240)|全部(47107)|4.8
大唐芙蓉园《大唐追梦》|好评(93)|0|差评(3)|全部(96)|4.9
汉城湖|好评(324)|中评(27)|0|全部(364)|4.6
金龙峡|好评(475)|中评(19)|差评(18)|全部(546)|4.4
西安广仁寺|好评(519)|中评(15)|差评(10)|全部(560)|4.7
梦长安|好评(342)|中评(1)|差评(2)|全部(355)|4.8
高家大院|好评(3828)|中评(110)|差评(45)|全部(4134)|4.7
梦回大秦|好评(363)|中评(1)|差评(9)|全部(385)|4.7
西影电影博物馆|好评(312)|0|差评(1)|全部(313)|5
西安半坡博物馆|好评(4714)|中评(94)|差评(31)|全部(4957)|4.8
战争史诗剧《复活的军团》|好评(1242)|中评(2)|差评(5)|全部(1249)|5
黑河国家森林公园|好评(13)|0|差评(2)|全部(15)|4.5
大兴善寺|好评(271)|中评(10)|0|全部(285)|4.8
秦岭九龙潭|好评(17)|0|差评(1)|全部(19)|4.5
《12·12》西安事变大型实景演出|好评(1850)|0|差评(5)|全部(1929)|4.8
秦陵地宫展览馆|好评(1052)|中评(78)|差评(74)|全部(1277)|4.3
昆明池|好评(9)|0|0|全部(10)|4.5
中国唐苑|好评(380)|中评(7)|0|全部(387)|4.9
曲江艺术博物馆|好评(109)|中评(1)|0|全部(110)|4.9
西安植物园（曲江园区）|好评(945)|中评(4)|差评(3)|全部(958)|4.9
朱雀国家森林公园|好评(390)|中评(10)|差评(6)|全部(425)|4.6
尚友秦腔茶楼|好评(618)|中评(5)|差评(4)|全部(664)|4.7
大秦温泉|好评(752)|中评(15)|差评(10)|全部(802)|4.7
秦风韵秦腔老腔茶楼|好评(70)|0|0|全部(73)|4.8
青曲社|好评(51)|0|0|全部(51)|5
含光门遗址博物馆|好评(1701)|中评(2)|0|全部(1706)|5
小雁塔|好评(2870)|中评(72)|差评(15)|全部(3098)|4.6
西安临潼悦椿温泉|好评(1374)|中评(12)|差评(3)|全部(1408)|4.9
临潼博物馆|好评(5350)|中评(6)|差评(20)|全部(5700)|4.7
曲江池遗址公园|好评(226)|中评(16)|差评(2)|全部(266)|4.2
终南山|好评(2)|0|0|全部(2)|5
草堂寺|好评(54)|中评(1)|差评(1)|全部(56)|4.9
西安关中民俗艺术博物院|好评(587)|中评(20)|差评(3)|全部(633)|4.6
世界八大奇迹馆|好评(120)|中评(22)|差评(10)|全部(157)|4.2
西安鲸鱼沟竹海风景区|好评(224)|0|差评(2)|全部(227)|4.9
青曲社相声茶馆（大雁塔店）|好评(14)|0|0|全部(14)|5
兵马俑一号坑|好评(42)|0|0|全部(42)|5
Cute Zoo城市动物园|好评(148)|0|0|全部(148)|5
长安唐村·中国农业公园|好评(1)|0|差评(1)|全部(2)|3
秦岭国家植物园|好评(334)|中评(1)|差评(1)|全部(337)|5
未央湖游乐园|好评(196)|中评(9)|差评(3)|全部(209)|4.7
西安梦幻星空抖乐园|好评(40)|0|0|全部(40)|5
蓝田流峪飞峡|好评(61)|中评(3)|0|全部(65)|4.6
汤峪温泉碧水湾|好评(324)|中评(9)|差评(15)|全部(348)|4.7
秦岭四宝科学公园|好评(16)|0|0|全部(16)|5
兴庆宫公园|好评(123)|中评(28)|差评(1)|全部(161)|4.1
楼观台国家森林公园|好评(236)|中评(18)|差评(3)|全部(264)|4.6
陕西广播电视塔西部之光|好评(497)|中评(12)|差评(1)|全部(513)|4.9
香积寺|好评(72)|中评(11)|0|全部(84)|4.4
天禾温泉水汇|好评(10)|0|0|全部(10)|5
